,country,ISO,firstcase,firstdeath,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,freepress,Region,democracy_cat,democracy,stringencyindex,daystomoststingent,C8_International_travel_controls_4,C8_International_travel_controls_3,C8_International_travel_controls_2,C8_International_travel_controls_1,C7_Restrictions_on_internal_movement_2,C7_Restrictions_on_internal_movement_1,C6_Stay_at_home_requirements_3,C6_Stay_at_home_requirements_2,C6_Stay_at_home_requirements_1,C5_Close_public_transport_2,C5_Close_public_transport_1,C4_Restrictions_on_gatherings_4,C4_Restrictions_on_gatherings_3,C4_Restrictions_on_gatherings_2,C4_Restrictions_on_gatherings_1,C3_Cancel_public_events_2,C3_Cancel_public_events_1,C2_Workplace_closing_3,C2_Workplace_closing_2,C2_Workplace_closing_1,C1_School_closing_3,C1_School_closing_2,C1_School_closing_1
0,Afghanistan,AFG,2020-02-25,2020-03-24,6402.0,1063.0,168.0,32.0,164.0,27.307,4.0,0.8220000000000001,,,,,,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,37.7,Asia,NF,27.0,76.33,47.0,,,,6.0,47.0,29.0,,29.0,,32.0,,40.0,,,,5.0,,28.0,,,18.0,,
1,Angola,AGO,2020-03-22,2020-03-30,48.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,33.92,SSA,NF,32.0,93.38,5.0,-2.0,-21.0,-45.0,,5.0,,,5.0,,5.0,,5.0,,2.0,,5.0,,5.0,,2.0,3.0,,2.0
2,Albania,ALB,2020-03-09,2020-03-12,916.0,18.0,31.0,0.0,318.0,6.255,11.0,0.0,,,,,,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,30.25,Europe,PF,67.0,88.36,40.0,6.0,,2.0,-13.0,4.0,,,4.0,,4.0,,40.0,0.0,,,0.0,,,0.0,,0.0,,
3,Andorra,AND,2020-03-03,2020-03-27,761.0,0.0,49.0,0.0,9849.0,0.0,634.0,0.0,,,,,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,23.23,Europe,F,94.0,61.77,36.0,,36.0,,,,,,,10.0,,22.0,,,,,,10.0,11.0,,,13.0,,
4,United Arab Emirates,ARE,2020-01-27,2020-03-22,21831.0,747.0,210.0,2.0,2207.0,75.528,21.0,0.20199999999999999,,,,,,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,42.69,MENA,NF,17.0,91.54,68.0,58.0,28.0,,-4.0,56.0,,,56.0,,68.0,59.0,60.0,,,,49.0,48.0,,58.0,34.0,41.0,34.0,
5,Argentina,ARG,2020-03-04,2020-03-08,7466.0,345.0,356.0,3.0,165.0,7.632999999999999,8.0,0.066,100362.0,3469.0,2.221,0.077,tests performed,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,28.78,Americas,F,85.0,100.0,19.0,12.0,,7.0,,16.0,,15.0,,,19.0,,15.0,,,,7.0,,15.0,,,12.0,,
6,Australia,AUS,2020-01-25,2020-03-01,7019.0,30.0,98.0,0.0,275.0,1.176,4.0,0.0,1015652.0,31836.0,39.83,1.248,tests performed,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,20.21,Asia,F,97.0,71.44,64.0,55.0,7.0,,,54.0,,,68.0,59.0,,,64.0,59.0,51.0,,53.0,51.0,,58.0,,59.0,,
7,Austria,AUT,2020-02-26,2020-03-13,16068.0,63.0,628.0,2.0,1784.0,6.995,70.0,0.222,357393.0,6042.0,39.681999999999995,0.6709999999999999,tests performed,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,15.78,Europe,F,93.0,84.79,19.0,,12.0,,,16.0,,,,9.0,,16.0,19.0,,72.0,,14.0,,19.0,,15.0,19.0,,
8,Azerbaijan,AZE,2020-02-29,2020-03-21,2980.0,101.0,36.0,1.0,294.0,9.961,4.0,0.099,,,,,,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,58.48,Eurasia,NF,10.0,92.86,47.0,47.0,0.0,,-30.0,19.0,,31.0,,,,31.0,14.0,,,,14.0,10.0,31.0,23.0,,3.0,,
9,Burundi,BDI,2020-04-01,2020-04-15,27.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,55.33,SSA,NF,13.0,22.22,13.0,3.0,-10.0,-27.0,,,,,,,,,,,,,,,,,,,,
10,Belgium,BEL,2020-02-04,2020-03-12,54644.0,356.0,8959.0,56.0,4715.0,30.717,773.0,4.832,,,,,,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,12.57,Europe,F,96.0,83.6,45.0,45.0,,,29.0,39.0,,,43.0,,,,43.0,,,,39.0,35.0,43.0,39.0,38.0,,39.0,
11,Benin,BEN,2020-03-17,2020-04-07,339.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,,,,,,12123198.0,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.5,35.11,SSA,PF,66.0,58.74,13.0,,,-1.0,-45.0,13.0,,,,,,13.0,13.0,,,,0.0,,,,,-3.0,,
12,Burkina Faso,BFA,2020-03-11,2020-03-19,782.0,9.0,51.0,0.0,37.0,0.431,2.0,0.0,,,,,,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,23.47,SSA,PF,56.0,88.75,12.0,10.0,,,,10.0,,,10.0,,12.0,,,,,10.0,1.0,,,10.0,,5.0,,
13,Bangladesh,BGD,2020-03-09,2020-03-22,20065.0,1202.0,298.0,15.0,122.0,7.2989999999999995,2.0,0.091,167294.0,6782.0,1.016,0.040999999999999995,samples tested,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,49.37,Asia,PF,39.0,94.58,33.0,,22.0,7.0,-47.0,10.0,,,10.0,,10.0,,10.0,,,,12.0,7.0,10.0,,,7.0,,
14,Bulgaria,BGR,2020-03-08,2020-03-12,2138.0,38.0,102.0,3.0,308.0,5.468999999999999,15.0,0.43200000000000005,64480.0,1161.0,9.28,0.16699999999999998,tests performed,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,35.06,Europe,F,80.0,75.52,24.0,67.0,10.0,,-34.0,10.0,,,10.0,,,,5.0,,,,5.0,3.0,,,5.0,5.0,-3.0,
15,Bahrain,BHR,2020-02-24,2020-03-17,6583.0,385.0,12.0,2.0,3869.0,226.26,7.0,1.175,230188.0,7646.0,135.279,4.493,units unclear,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,151.689,16.52,5.8,37.6,,2.0,60.13,MENA,NF,11.0,86.77,40.0,40.0,23.0,,15.0,,23.0,,45.0,23.0,,33.0,27.0,23.0,,,23.0,,31.0,23.0,,2.0,,
16,Bosnia and Herzegovina,BIH,2020-03-06,2020-03-22,2237.0,21.0,127.0,4.0,682.0,6.401,39.0,1.219,,,,,,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,28.51,Europe,PF,53.0,91.4,49.0,,4.0,,,14.0,10.0,14.0,,,11.0,,12.0,,4.0,,4.0,,11.0,,,5.0,,
17,Belize,BLZ,2020-03-24,2020-04-06,18.0,0.0,2.0,0.0,45.0,0.0,5.0,0.0,,,,,,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,,,90.083,1.3,27.5,Americas,F,86.0,73.42,34.0,-4.0,-9.0,-11.0,-13.0,34.0,,,34.0,,,34.0,,-8.0,,,-8.0,,8.0,,-4.0,-4.0,,
18,Bolivia,BOL,2020-03-12,2020-03-30,3577.0,205.0,164.0,12.0,306.0,17.562,14.0,1.028,,,,,,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,,,25.383000000000003,1.1,35.37,Americas,PF,63.0,97.35,33.0,19.0,2.0,,,9.0,,,10.0,,4.0,,5.0,,,0.0,0.0,,4.0,,6.0,0.0,,
19,Brazil,BRA,2020-02-26,2020-03-18,218223.0,15305.0,14817.0,824.0,1027.0,72.003,70.0,3.877,,,,,,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,34.05,Americas,F,75.0,75.15,69.0,30.0,22.0,16.0,,20.0,,,69.0,16.0,24.0,22.0,60.0,21.0,17.0,,15.0,,20.0,,16.0,15.0,,
20,Brunei,BRN,2020-03-10,2020-03-29,141.0,0.0,1.0,0.0,322.0,0.0,2.0,0.0,,,,,,437483.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,,201.285,12.79,2.0,30.9,,2.7,49.65,Asia,NF,28.0,60.71,32.0,14.0,-40.0,,,,32.0,,,,,,,3.0,,,3.0,,,,,1.0,,
21,Bhutan,BTN,2020-03-06,,21.0,1.0,0.0,0.0,27.0,1.296,0.0,0.0,,,,,,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,217.06599999999997,9.75,,,79.807,1.7,28.9,Asia,PF,59.0,84.12,21.0,19.0,,0.0,,21.0,,,,21.0,,21.0,21.0,,,,,21.0,,21.0,,-1.0,,
22,Botswana,BWA,2020-04-01,2020-04-02,24.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,,,,,,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,23.56,SSA,F,72.0,87.04,1.0,-13.0,-16.0,,-64.0,1.0,-16.0,,1.0,,,-7.0,1.0,-16.0,,,-16.0,,1.0,,,-13.0,,
23,Central African Republic,CAF,2020-03-16,,301.0,80.0,0.0,0.0,62.0,16.564,0.0,0.0,,,,,,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.602999999999998,1.0,42.87,SSA,NF,10.0,,,10.0,,,,10.0,,,,,,,,10.0,,,,,,10.0,,10.0,,
24,Canada,CAN,2020-01-26,2020-03-10,74602.0,1201.0,5562.0,90.0,1977.0,31.820999999999998,147.0,2.385,1265502.0,32590.0,33.53,0.863,people tested,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,15.29,Americas,F,98.0,76.73,66.0,52.0,,,-4.0,54.0,,,50.0,,,,57.0,50.0,,,46.0,,52.0,,,50.0,,
25,Switzerland,CHE,2020-02-26,2020-03-06,30431.0,51.0,1594.0,6.0,3516.0,5.893,184.0,0.693,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,10.62,Europe,F,96.0,79.49,20.0,,16.0,,,,20.0,,20.0,,,,20.0,,,2.0,-1.0,,20.0,,,16.0,,
26,Chile,CHL,2020-03-04,2020-03-23,39542.0,2502.0,394.0,36.0,2069.0,130.884,21.0,1.883,350325.0,8813.0,18.326,0.461,tests performed,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,27.31,Americas,F,90.0,83.6,21.0,,14.0,,,21.0,,,21.0,,18.0,,,21.0,12.0,,12.0,,12.0,,,11.0,,
27,China,CHN,2020-01-01,2020-01-11,84038.0,9.0,4637.0,0.0,58.0,0.006,3.0,0.0,,,,,,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,78.48,Asia,NF,10.0,75.42,55.0,,85.0,55.0,,22.0,,31.0,,22.0,22.0,,21.0,,,,21.0,,25.0,,,25.0,,
28,Cote d'Ivoire,CIV,2020-03-12,2020-03-30,2017.0,46.0,24.0,0.0,76.0,1.744,1.0,0.0,,,,,,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,303.74,2.42,,,19.351,,28.94,SSA,PF,51.0,86.11,12.0,10.0,4.0,,,12.0,,,,11.0,,12.0,,7.0,,,7.0,,,7.0,,4.0,,
29,Cameroon,CMR,2020-03-07,2020-03-25,3105.0,151.0,140.0,1.0,117.0,5.688,5.0,0.038,,,,,,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.66099999999997,7.2,,,2.735,1.3,43.28,SSA,NF,18.0,76.32,42.0,42.0,11.0,,6.0,,11.0,,,,,11.0,,11.0,,,11.0,,,11.0,,11.0,,
30,Democratic Republic of Congo,COD,2020-03-11,2020-03-22,1369.0,71.0,61.0,11.0,15.0,0.7929999999999999,1.0,0.12300000000000001,,,,,,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,49.09,SSA,NF,18.0,85.85,17.0,13.0,9.0,-5.0,-20.0,7.0,,17.0,,,13.0,11.0,,13.0,,,8.0,,,8.0,,8.0,,
31,Congo,COG,2020-03-16,2020-04-01,391.0,0.0,15.0,0.0,71.0,0.0,3.0,0.0,,,,,,5518092.0,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,36.56,SSA,NF,20.0,98.02,15.0,5.0,,-13.0,,12.0,,12.0,,,15.0,,,12.0,,,12.0,,12.0,,,12.0,,
32,Colombia,COL,2020-03-07,2020-03-22,14216.0,606.0,546.0,21.0,279.0,11.91,11.0,0.413,,,,,,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,42.66,Americas,PF,66.0,93.38,51.0,18.0,16.0,5.0,,18.0,,,18.0,,,18.0,48.0,10.0,5.0,,5.0,,18.0,,-12.0,9.0,,
33,Cape Verde,CPV,2020-03-21,2020-03-25,326.0,11.0,2.0,0.0,586.0,19.785,4.0,0.0,,,,,,555988.0,135.58,25.7,4.46,3.437,6222.554,,182.21900000000002,2.42,2.1,16.5,,2.1,20.15,SSA,F,92.0,79.63,11.0,-2.0,-23.0,,,-1.0,,,11.0,-1.0,,7.0,,,,,-5.0,,7.0,,,,2.0,
34,Costa Rica,CRI,2020-03-07,2020-03-19,843.0,13.0,8.0,0.0,165.0,2.552,2.0,0.0,13696.0,665.0,2.6889999999999996,0.131,people tested,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,10.53,Americas,F,91.0,81.61,51.0,10.0,9.0,,,10.0,,,,51.0,14.0,,,51.0,,,3.0,,3.0,,,5.0,,
35,Cuba,CUB,2020-03-12,2020-03-19,1840.0,10.0,79.0,0.0,162.0,0.883,7.0,0.0,,,,,,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,63.81,Americas,NF,14.0,100.0,60.0,36.0,8.0,,-20.0,11.0,,60.0,12.0,,12.0,,60.0,,,,8.0,,36.0,,26.0,12.0,,
36,Cyprus,CYP,2020-03-10,2020-03-25,910.0,3.0,17.0,0.0,1039.0,3.425,19.0,0.0,,,,,,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,20.45,Europe,F,94.0,94.71,14.0,5.0,,3.0,,14.0,,,14.0,,14.0,,13.0,,,,0.0,,37.0,6.0,,3.0,,
37,Czech Republic,CZE,2020-03-02,2020-03-23,8406.0,55.0,295.0,2.0,785.0,5.136,28.0,0.187,,,,,,10708982.0,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,23.57,Europe,F,91.0,83.07,21.0,14.0,-32.0,,-35.0,14.0,,,13.0,,,,21.0,10.0,8.0,,9.0,,12.0,11.0,,9.0,,
38,Germany,DEU,2020-01-28,2020-03-10,173772.0,620.0,7881.0,57.0,2074.0,7.4,94.0,0.68,,,,,,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,12.16,Europe,F,94.0,81.75,69.0,48.0,,,31.0,51.0,50.0,,53.0,41.0,,69.0,53.0,,,42.0,42.0,32.0,,101.0,54.0,29.0,,
39,Djibouti,DJI,2020-03-19,2020-04-10,1309.0,25.0,4.0,1.0,1325.0,25.304000000000002,4.0,1.012,,,,,,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,76.73,SSA,NF,24.0,100.0,37.0,-1.0,,,,4.0,,4.0,,,37.0,3.0,4.0,,,,4.0,,4.0,3.0,,0.0,,
40,Denmark,DNK,2020-02-27,2020-03-16,10791.0,78.0,537.0,0.0,1863.0,13.466,93.0,0.0,379482.0,10593.0,65.516,1.829,people tested,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,8.13,Europe,F,97.0,84.12,20.0,16.0,13.0,5.0,,,15.0,,,5.0,,12.0,20.0,15.0,8.0,,8.0,,,20.0,13.0,15.0,,
41,Dominican Republic,DOM,2020-03-02,2020-03-21,11739.0,419.0,424.0,2.0,1082.0,38.625,39.0,0.184,,,,,,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,27.9,Americas,PF,67.0,98.02,57.0,17.0,14.0,,,18.0,,57.0,47.0,15.0,17.0,,,22.0,,,17.0,,17.0,,,17.0,,14.0
42,Algeria,DZA,2020-02-26,2020-03-13,6629.0,187.0,536.0,7.0,151.0,4.263999999999999,12.0,0.16,,,,,,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,45.52,MENA,NF,34.0,84.54,48.0,,17.0,,15.0,26.0,,26.0,,,26.0,,33.0,,,,13.0,,33.0,26.0,,15.0,,
43,Ecuador,ECU,2020-03-01,2020-03-14,31467.0,965.0,2594.0,256.0,1784.0,54.696000000000005,147.0,14.51,,,,,,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,32.62,Americas,PF,65.0,95.37,16.0,16.0,14.0,,1.0,16.0,,,16.0,,14.0,,,16.0,,,12.0,,16.0,,,12.0,,
44,Egypt,EGY,2020-02-15,2020-03-09,11228.0,399.0,592.0,21.0,110.0,3.8989999999999996,6.0,0.205,,,,,,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,56.82,MENA,NF,21.0,88.75,38.0,33.0,,,,38.0,,,38.0,,33.0,,,,,38.0,35.0,,,30.0,,29.0,,
45,Spain,ESP,2020-02-01,2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,22.16,Europe,F,92.0,89.41,58.0,45.0,38.0,,,,37.0,,42.0,,,42.0,58.0,,,38.0,38.0,,58.0,42.0,37.0,37.0,,
46,Estonia,EST,2020-02-28,2020-03-26,1766.0,8.0,63.0,1.0,1331.0,6.031000000000001,47.0,0.754,,,,,,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,12.61,Europe,F,94.0,80.29,30.0,,18.0,,13.0,13.0,,,30.0,,,,25.0,13.0,,,13.0,,28.0,,,17.0,,
47,Ethiopia,ETH,2020-03-14,2020-04-06,287.0,15.0,5.0,0.0,2.0,0.13,0.0,0.0,,,,,,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,32.82,SSA,NF,24.0,76.19,25.0,,,9.0,2.0,12.0,,,,25.0,16.0,,25.0,,,2.0,2.0,,,11.0,,11.0,2.0,
48,Finland,FIN,2020-01-30,2020-03-22,6228.0,83.0,293.0,6.0,1124.0,14.98,53.0,1.083,,,,,,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,153.507,5.76,18.3,22.6,,3.28,7.93,Europe,F,100.0,75.13,58.0,49.0,7.0,,,58.0,46.0,,,46.0,,43.0,,,42.0,,42.0,,,46.0,42.0,,46.0,
49,France,FRA,2020-01-25,2020-02-15,141919.0,563.0,27529.0,104.0,2174.0,8.625,422.0,1.5930000000000002,,,,,,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,22.92,Europe,F,90.0,93.38,92.0,52.0,,6.0,-2.0,52.0,49.0,,52.0,,,51.0,92.0,,48.0,35.0,48.0,,52.0,,,37.0,,
50,Gabon,GAB,2020-03-13,2020-03-21,1209.0,105.0,10.0,0.0,543.0,47.176,4.0,0.0,,,,,,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,37.2,SSA,NF,22.0,83.6,58.0,7.0,-35.0,,,28.0,,,28.0,,,7.0,7.0,0.0,,,0.0,,30.0,7.0,,3.0,,
51,United Kingdom,GBR,2020-01-31,2020-03-07,236711.0,3560.0,33998.0,384.0,3487.0,52.441,501.0,5.657,1742028.0,78537.0,25.660999999999998,1.157,people tested,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,22.93,Europe,F,94.0,79.63,55.0,,,,,52.0,51.0,,52.0,,,55.0,52.0,,,,50.0,46.0,,50.0,45.0,52.0,,
52,Georgia,GEO,2020-02-27,2020-04-06,671.0,4.0,12.0,0.0,168.0,1.003,3.0,0.0,,,,,,3989175.0,65.032,38.7,14.864,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,28.59,Eurasia,PF,61.0,100.0,33.0,20.0,-30.0,,,24.0,,33.0,25.0,11.0,25.0,,23.0,,,,3.0,,21.0,16.0,,4.0,,
